Member_number,Date,itemDescription,year,month,day,day_of_week
1064,7/11/2023,apples,2023,7,11,1
1064,7/11/2023,butter,2023,7,11,1
1064,7/11/2023,cereal,2023,7,11,1
1028,1/15/2023,spinach,2023,1,15,6
1028,1/15/2023,butter,2023,1,15,6
1028,1/15/2023,pasta,2023,1,15,6
1028,1/15/2023,beans,2023,1,15,6
1042,3/16/2023,bread,2023,3,16,3
1042,3/16/2023,milk,2023,3,16,3
1042,3/16/2023,oranges,2023,3,16,3
1089,3/13/2023,oranges,2023,3,13,0
1089,3/13/2023,rice,2023,3,13,0
1089,3/13/2023,bread,2023,3,13,0
1089,3/13/2023,butter,2023,3,13,0
1089,3/13/2023,cheese,2023,3,13,0
1032,4/21/2023,chicken,2023,4,21,4
1032,4/21/2023,pasta,2023,4,21,4
1032,4/21/2023,rice,2023,4,21,4
1067,8/5/2023,cheese,2023,8,5,5
1067,8/5/2023,milk,2023,8,5,5
1030,6/4/2023,bread,2023,6,4,6
1030,6/4/2023,eggs,2023,6,4,6
1053,11/24/2023,oranges,2023,11,24,4
1053,11/24/2023,butter,2023,11,24,4
1053,11/24/2023,yogurt,2023,11,24,4
1053,11/24/2023,spinach,2023,11,24,4
1053,11/24/2023,rice,2023,11,24,4
1053,11/24/2023,chicken,2023,11,24,4
1002,11/20/2023,rice,2023,11,20,0
1002,11/20/2023,eggs,2023,11,20,0
1002,11/20/2023,pasta,2023,11,20,0
1002,11/20/2023,jam,2023,11,20,0
1002,11/20/2023,milk,2023,11,20,0
1002,11/20/2023,apples,2023,11,20,0
1000,11/11/2023,eggs,2023,11,11,5
1000,11/11/2023,rice,2023,11,11,5
1000,11/11/2023,apples,2023,11,11,5
1000,11/11/2023,jam,2023,11,11,5
1085,12/9/2023,chicken,2023,12,9,5
1085,12/9/2023,cereal,2023,12,9,5
1008,9/27/2023,chicken,2023,9,27,2
1008,9/27/2023,cheese,2023,9,27,2
1008,9/27/2023,spinach,2023,9,27,2
1008,9/27/2023,yogurt,2023,9,27,2
1008,9/27/2023,bread,2023,9,27,2
1008,9/27/2023,apples,2023,9,27,2
1060,1/23/2023,cereal,2023,1,23,0
1060,1/23/2023,milk,2023,1,23,0
1060,1/23/2023,pasta,2023,1,23,0
1060,1/23/2023,bread,2023,1,23,0
1060,1/23/2023,spinach,2023,1,23,0
1008,6/26/2023,pasta,2023,6,26,0
1008,6/26/2023,beans,2023,6,26,0
1008,6/26/2023,yogurt,2023,6,26,0
1013,10/25/2023,jam,2023,10,25,2
1013,10/25/2023,bread,2023,10,25,2
1013,10/25/2023,cereal,2023,10,25,2
1013,10/25/2023,chicken,2023,10,25,2
1043,11/26/2023,yogurt,2023,11,26,6
1043,11/26/2023,cheese,2023,11,26,6
1043,11/26/2023,beans,2023,11,26,6
1059,12/23/2023,beans,2023,12,23,5
1059,12/23/2023,jam,2023,12,23,5
1059,12/23/2023,cheese,2023,12,23,5
1059,12/23/2023,yogurt,2023,12,23,5
1059,12/23/2023,butter,2023,12,23,5
1091,8/23/2023,milk,2023,8,23,2
1091,8/23/2023,eggs,2023,8,23,2
1005,4/13/2023,cereal,2023,4,13,3
1005,4/13/2023,milk,2023,4,13,3
1065,7/23/2023,oranges,2023,7,23,6
1065,7/23/2023,milk,2023,7,23,6
1065,7/23/2023,bread,2023,7,23,6
1065,7/23/2023,beans,2023,7,23,6
1065,7/23/2023,eggs,2023,7,23,6
